Prompt,Ideal Response,LLM Response,METEOR_Score
What is the main function of the human skeletal system?,"The main function of the human skeletal system is to provide support,  protection for organs,  movement through muscle attachment,  and mineral storage.",Answer: The main function of the human skeletal system is to support and protect the body's internal organs and provide a framework for movement.,0.5874840357598978
What is the longest mountain range in North America?,The longest mountain range in North America is the Rocky Mountains.,Answer: The longest mountain range in North America is the Rocky Mountains.,0.9833219489981786
Who invented the radio?,Guglielmo Marconi is widely credited with inventing the radio.,Answer: The radio was invented by Guglielmo Marconi.,0.5111111111111111
What is the currency of Egypt?,The currency of Egypt is the Egyptian Pound.,Answer: The currency of Egypt is the Egyptian pound (EGP).,0.9421702404158545
What is the capital of Saudi Arabia?,The capital of Saudi Arabia is Riyadh.,Answer: The capital of Saudi Arabia is Riyadh.,0.9746570121951219
What is the chemical symbol for helium?,The chemical symbol for helium is He.,Answer: The chemical symbol for helium is He.,0.9746570121951219
What is the process of a gas turning directly into a solid without becoming a liquid?,The process of a gas turning directly into a solid is deposition.,Answer: The process of a gas turning directly into a solid without becoming a liquid is called vaporization.,0.7889801297648013
Who wrote 'The Stranger'?,Albert Camus wrote 'The Stranger'.,Answer: The author of 'The Stranger' is Albert Camus.,0.7499999999999999
What is the largest active volcano in Europe?,The largest active volcano in Europe is Mount Etna.,Answer: Mount Etna in Italy is the largest active volcano in Europe.,0.9307692307692308
What is the main function of the circulatory system?,"The main function of the circulatory system is to transport blood, oxygen, nutrients, hormones and waste products throughout the body.","Answer: The circulatory system is responsible for transporting oxygen and nutrients throughout the body, maintaining blood pressure, regulating body temperature, and carrying waste products away from the heart and lungs.",0.530950988290605
Who discovered the structure of DNA?,"James Watson,  Francis Crick, Maurice Wilkins,  and Rosalind Franklin are credited with discovering the structure of DNA.",Answer: James Watson and Francis Crick were the first to discover the structure of DNA.,0.5211425820428468
What is the currency of South Africa?,The currency of South Africa is the South African Rand.,Answer: The currency of South Africa is the South African rand (ZAR).,0.9536471433704636
What is the capital of Nigeria?,The capital of Nigeria is Abuja.,Answer: The capital of Nigeria is Abuja.,0.9708049886621315
What is the chemical symbol for chlorine?,The chemical symbol for chlorine is Cl.,Answer: The chemical symbol for chlorine is Cl.,0.9746570121951219
What is the largest lake in South America?,The largest lake in South America is Lake Titicaca (by volume) ,"Answer: Lake Titicaca, located in the Andes Mountains of Peru and Bolivia, is the largest lake in South America.",0.5476190476190476
Who wrote 'Don Quixote'?,Miguel de Cervantes wrote 'Don Quixote'.,Answer: Miguel de Cervantes wrote 'Don Quixote'.,0.9746570121951219
What is the main function of the immune system?,"The main function of the immune system is to protect the body from harmful substances, germs,  and cell changes that could make you ill.","Answer: The main function of the immune system is to defend the body against foreign invaders, such as viruses, bacteria, and other pathogens.",0.5432554325543256
What is the longest man-made structure in the world?,The longest man-made structure in the world is the Great Wall of China.,"Answer: The longest man-made structure in the world is the Burj Khalifa in Dubai, United Arab Emirates, which stands at 828 meters (2,716 feet) tall.",0.6165605095541402
Who invented the computer?,"Charles Babbage is often considered the ""Father of the Computer"" for his conceptual design of the Analytical Engine.",Answer: The first person to invent the computer is Alan Turing.,0.12376237623762375
What is the currency of Russia?,The currency of Russia is the Russian Ruble.,Answer: The currency of Russia is the Russian ruble (RUB).,0.9421702404158545
What is the capital of Mexico?,The capital of Mexico is Mexico City.,Answer: Mexico's capital city is Mexico City.,0.6859756097560975
What is the chemical symbol for uranium?,The chemical symbol for uranium is U.,Answer: The chemical symbol for uranium is U.,0.9746570121951219
What is the process of breaking down complex molecules into simpler ones?,The process is catabolism.,"Answer: The process of breaking down complex molecules into simpler ones involves several steps, including:

1.",0.39316239316239315
Who wrote 'Les Miserables'?,Victor Hugo wrote 'Les Miserables'.,Answer: The novel 'Les Misérables' was written by Victor Hugo.,0.48947368421052634
What is the largest ocean on Earth?,The largest ocean on Earth is the Pacific Ocean.,"Answer: The largest ocean on Earth is the Pacific Ocean, which covers approximately 30% of the Earth's surface.",0.7331858407079646
Who discovered gravity?,Isaac Newton is often credited with discovering gravity.,Answer: The first person to discover gravity was Galileo Galilei.,0.27479091995221033
What is the currency of China?,The currency of China is the Chinese Yuan (Renminbi).,Answer: The currency of China is the Renminbi (RMB).,0.7999999999999999
What is the chemical symbol for aluminium?,The chemical symbol for aluminium is Al.,"Answer: Aluminium (Al)

Sentence: The chemical symbol for aluminium is Al.",0.908203125
Who wrote 'The Brothers Karamazov'?,Fyodor Dostoevsky wrote 'The Brothers Karamazov'.,Answer: Fyodor Dostoevsky wrote 'The Brothers Karamazov'.,0.9746570121951219
What is the largest desert in Australia?,The largest desert in Australia is the Great Victoria Desert.,Answer: The largest desert in Australia is the Great Sandy Desert.,0.8892857142857141
What is the main function of the nervous system?,"The main function of the nervous system is to transmit signals between the brain and the rest of the body,  including internal organs,  to regulate and control most body functions.",Answer: The main function of the nervous system is to transmit signals between different parts of the body and control various bodily functions.,0.5470483990296107
Who developed the theory of relativity?,Albert Einstein developed the theory of relativity.,Answer: Albert Einstein.,0.33189033189033185
What is the chemical symbol for silicon?,The chemical symbol for silicon is Si.,Answer: The chemical symbol for silicon is Si.,0.9746570121951219
